parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
;1;897_Polaris_Avala_Kvartal;;;;;;;1;;;Assembly;;;
1;2;182847_Fuajee_piirded;;;;;;;1;;;Assembly;;;
2;3;Tumm_piire_I;;;;;;;1;;;Assembly;;;
3;8;tumma_piirde_moodul;;;;;;;11;;;Assembly;;;
8;9;tumma_piirde_paneel;;;True;1820;1000;19;1;;;Part;;;
9;10;tumma_piirde_paneel WP 1;WP of ;;True;1830;1000;19;1,83;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
9;12;tumma_piirde_paneel WP 2;WP of ;;False;1820;19;1;1,82;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
9;14;tumma_piirde_paneel WP 3;WP of ;;False;1000;7;1;1;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
9;16;tumma_piirde_paneel WP 4;WP of ;;False;1820;19;1;1,82;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
8;18;tumma_piirde_kilp;;;True;1000;970;19;1;;;Part;;;
18;19;tumma_piirde_kilp WP 1;WP of ;;True;970;1000;19;0,97;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
18;21;tumma_piirde_kilp WP 2;WP of ;;False;1000;19;1;1;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
18;23;tumma_piirde_kilp WP 3;WP of ;;False;970;19;1;0,97;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
18;25;tumma_piirde_kilp WP 4;WP of ;;False;970;19;1;0,97;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
8;27;tumma_piirde_ylapuu;;;True;1000;63;19;1;;;Part;;;
27;28;tumma_piirde_ylapuu WP 1;WP of ;;True;1000;73;19;0,073;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
27;30;tumma_piirde_ylapuu WP 2;WP of ;;False;63;19;1;0,063;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
27;32;tumma_piirde_ylapuu WP 3;WP of ;;False;1000;19;1;1;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
27;34;tumma_piirde_ylapuu WP 4;WP of ;;False;63;19;1;0,063;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
8;36;tumma_piirde_riputusliist;;;False;900;80;19;1;;;Part;;;
36;37;tumma_piirde_riputusliist WP 1;WP of ;;False;900;90;19;0,081;m²;;Fill Workpiece;Board;MDF;
3;39;tumma_piirde_otsa_moodul_I;;;;;;;1;;;Assembly;;;
39;40;tumma_piirde_ylapuu;;;True;425;63;19;1;;;Part;;;
40;41;tumma_piirde_ylapuu WP 1;WP of ;;True;435;73;19;0,032;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
40;43;tumma_piirde_ylapuu WP 2;WP of ;;False;425;19;1;0,425;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
40;45;tumma_piirde_ylapuu WP 3;WP of ;;False;63;19;1;0,063;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
39;47;tumma_piirde_paneel_2;;;True;1820;425;19;1;;;Part;;;
47;48;tumma_piirde_paneel_2 WP 1;WP of ;;True;1830;425;19;0,778;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
47;50;tumma_piirde_paneel_2 WP 2;WP of ;;False;831;19;1;0,831;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
47;52;tumma_piirde_paneel_2 WP 3;WP of ;;False;425;7;1;0,425;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
47;54;tumma_piirde_paneel_2 WP 4;WP of ;;False;1820;19;1;1,82;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
39;56;tumma_piirde_kilp_2;;;True;970;406;19;1;;;Part;;;
56;57;tumma_piirde_kilp_2 WP 1;WP of ;;True;970;406;19;0,394;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
56;59;tumma_piirde_kilp_2 WP 2;WP of ;;False;970;19;1;0,97;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
